id,name
212,Tor
91,cryptomining
94,CannabisCollective
100,DNMSourcing
9,murderhomelesspeople
14,DarkDotFail
171,LawEnforcement
105,NovelDissos
395,XTC
23,GrowCannabis
21,fraud
172,BugBounty
30,CodeineCowboys
175,Masterlist
267,zeronet
28,DarkNetMarketsNO
156,Videos
178,Theft
195,BTC
362,DankReviewz
244,mxe
361,USAConnect
179,I2P
42,DarkMarketsBrasil
180,DarkNetMarketBusts
62,Hashish
43,DNMBrasil
59,OpenBazaar
45,DeutschClub
242,XannyFamily
247,hardwareinfosec
248,DreamMarketScam
367,DNMGreece
366,TheCardersBay
368,Legal
249,HeinekenExpress
250,SafeOrScam
74,Shrooms
251,Gambling
369,DankVault
252,EOLShrooms
47,Laundromat
86,DarknetPortugal
90,aerospace
370,MDMAConnosoursClub
371,HashHQ
93,Diazepines
101,DNMAds
48,CryptoATMs
97,Kratom
109,FreeSamples
107,DrugScience
106,2CB
108,SubAnnouncements
232,nitrous
115,Xan
73,Crypto
120,Shoplifting
129,privacy
364,GirlPower
307,VendyMcVendface
343,SubOfShame
404,operamarket
405,CrownedVendors
406,Nirvana
408,stickykitty
407,CalSource
409,DarknetCzechRepublic
410,GGWP
411,HermesHiddenServices
412,NGM
413,VendorShops
414,HHShop7
155,Blunts
214,DDWPHISHING
230,CorporationCashOut
207,FinanceHackers
229,EU_Weed
208,dankvip
205,cocacolacompany
266,TripSmart
262,Genesis
268,DNWikipedia
264,BlackBox
269,TorrentShare
263,AskDread
271,PushingTrees
272,leary
261,WikiDrugs
294,AngelPharm
275,Onions
29,Xanax
295,Strike
296,Blackhat
309,trippy
24,DarknetMarketsNoobs
31,DarknetMarketsIndia
40,DNMUS
27,DrugManufacture
231,NightMareMarket
300,onionshop
52,testcommunity
132,ProfitableExsploit
26,CGMC
33,chemmindful
34,hacking
36,malware
37,SteadySupplies
54,rcsources
233,ogXC
305,OnionOps
234,Chat
316,encrypted
78,Music
257,EnergyControl
287,Israel
279,TBK
288,MarketsUruguay
289,Antiochus
283,escorts
445,Halbermensch
443,ugextracts
284,DrugPics
285,UKCocaineReviews
446,Halbmensch
286,HashishMaster
255,ReagentTesting
256,DNMRussia
281,CivilDisobedience
444,cloneTeam
84,Benzos
312,PillChills
282,hookers
58,EUrcsources
55,CaliKindness
71,OlympusMarket
85,Portugal
235,AnythingGoes
98,Phenibut
200,newmarkets
258,Meth
259,THClear1
260,GammaGoblin
277,Quickcoke
99,sexworkers
278,OnionParty
280,DNMMods19
378,Pelican
17,DarkNetAustralia
426,GreenFlagged
102,Torrenting
211,bbb
150,Adderall
213,ausfreeclassifieds
223,Counterfeiting
298,alternatives
365,Italy
315,TheGoodSpeedGuide
87,drugdealing
96,DarknetmarketsOZ
310,VendorTalk
80,Mdma
387,DNMJOKES
377,giveaways
388,TheOutfit
53,DNSTARS
111,Weed
75,Psychedelics
198,Opiateconnect
199,thedopespot
201,FREE_Guides
149,Jobs4Crypto
372,IntelExchange
7,LibertasMarket
430,GreyMarket
431,BitBazaar
152,VendorsClub
153,Psychonaut
193,Anonymous
190,Drugs
191,BerlusconiMarket
224,Cryptonia
192,Manufacturing
110,HumboldtGrowers
319,PDqrxzyftn
49,MoneroATMs
113,DarkDevices
320,DNMemes
321,canadianflavor
373,Agorism
374,DarkDesk
375,Balenciaga
376,XMR
384,SethRogenAus
188,softandtech
204,DNHistory
189,DNMSA
170,OnionDev
112,DarkPhones
346,DNMSwitzerland
114,Alprazolam
117,benzodiazepines
119,CafeDread
432,GenesisMarket
196,fraudfinance
92,thecandymanuk
420,Vacations
435,UKCannaisseurs
421,devopspartnering
436,dBay
423,DarkNetAlchemist
424,DarknetMonitor
425,readers
437,SynchronizersGazeebo
433,IndianStoners
438,Chronos
434,TheFund
439,Versus
440,PreviewOfFreedom
174,ScamReports
441,WhiteHouseMarket
416,Envoy
442,Cryptonite
417,Silkbay
418,darkmarket
419,CartKingdom
415,SamSaraMarket
18,EmpireMarket
290,NamasteLSD
291,SecretSociety
292,issociatives
293,dissociatives
118,Tramadol
121,DarknetMarketsNZ
19,Opiates
162,BudgetBudsExpress
81,RCBenzos
13,HarmReduction
428,DrugTrafficking
185,CFB
186,clearlythebest
187,Recon
194,klonopin
427,DarknetBrasil
429,LiquidGold
202,ReviewsOz
197,DarknetDevelopment
274,EnigmaMarket
265,IntelCutoutReloaded
422,Monopoly
164,ProjectAnnouncements
203,boredbanter
209,CubensisCity
116,Modafin
51,programming
57,Apollon
67,DreadditTest
69,DNMCanada
70,Cannazon
122,DarkNetDenmark
123,DeepDotWeb
124,DNMcirclejerk
125,undergroundcoco
126,cocaine
127,Steroids
128,IndependentNews
130,TagTrading
131,SteroidSourceTalk
133,DNP
134,zionmarket
135,IDC
139,DNMWatchDogs
144,Darkwebnews
143,TrophyCircle
182,DarknetMarketsReloaded
145,Superlist
146,SilkRoad
184,PacketsAndPuns
147,testing
148,gpumining
183,KnowYourRights
206,gotmilk
215,REPPIT
20,DNMUK
216,TCF
217,fraudulence
227,Discordian_Society
238,thedopeshop
22,GrowShrooms
88,freelance
210,LunaMarket
46,LSD
313,sources
39,SocialEngineering
44,DarkNetFrance
60,CartelNorteAfrica
56,DreamMarket
61,Opium
65,Carding
63,collapse
64,modafinil
136,Oculus
66,StrungOut
137,AntiScam
138,coke
141,valhalla
142,GHBandAnalogs
297,news
363,darknetlive
273,ttiot
220,Concentrates
6,TochkaFreeMarket
270,Linux
218,DutchDrugzSupport
352,Albertheijnxl
354,JabberExchange
355,ddf
356,MushMerica
357,AusDeals
358,DarkNetArabs
359,MDACanada
360,DNMBulgaria
16,TheMajesticGarden
245,WorldPharmacy
332,ctbgold
333,SpriteLeeBulkSourcing
334,Vendorstores
335,terekgears
336,IDW
337,DutchMasters
338,goingpostal
339,CDNVEN
340,dutchw33d
342,DreamAltMarket
344,TheProfessionals
345,SmokersCo
347,HollandDutch
348,GeneseMarket
349,HollanDutch
350,mushcanada
351,openmarket
219,distillate
221,Psychedelium
222,Killuminati
276,yellowbrick
163,OffTopic
236,kloshost
154,IAmA
330,WallStreetMarketUNCUCKED
95,ketamine
353,MLPfans
68,Reviews
341,B6v7eeOfficial
50,SerpentMarket
159,Security
225,thunkening
311,randomtesttestrandom
239,BrasilDark
76,DMT
302,HiddenHand
303,NenUsers
77,Codeine
151,TripNation
157,Tails
158,Cosmic_Consciousness
240,Cerberus
396,AnnieAdderall
176,PossibleScams
241,FriedPhish
314,KarmaKing
379,antiforensics
397,USAKetamine
3,FakeID
181,Revolution
398,PersonalTestPosts
243,GangstasParadise
308,DreamExit-vendors-only
317,helpcenter
380,DrugSEC
399,OGCR
246,hiddenwiki
318,SuperSecretSociety
381,fastkush
400,BudnationAustralia
25,DNMNoobs
228,netsec
237,VENT
382,giveaway
401,DutchDarknet
10,DankNation
82,edibles
89,Microdosing
72,MADMAN
32,conspiracy
35,xanaxcartel
41,PirateSandbox
38,OpSec
4,FakeIDUK
5,WallStreetMarket
8,HiddenService
2,DarkNetMarkets
11,Forgeries
161,DanknationUK
226,coremarket
383,darknet
402,Politics
403,FraudResources
331,mushroommafia
12,Lean
15,RaptureMarket
253,danknationlotto
322,happyshopper
385,USDK
1,Dread
79,NJUnderground
83,stims
103,Monero
104,MephedroneCommunity
173,Philosophy_Science
177,Piracy
254,DNMTurkey
323,ApolloMarket
386,marketannouncements
160,vapeislife
299,MegaLinks
324,TheGrassCompany
389,DNMAsia
165,Agartha
325,Acestreams
390,DankNetCooperative
166,MemoriesOfTheFuture
301,BlotterArt
326,DrugsReviews
391,IllegallyHealed
167,memes
304,BlackArk
327,Wochris
392,TheVendorBible
140,DDSuperlist
168,DarkNetMarkets2
328,SpeedBuster
393,VendorShitList
169,VendorReviews
306,TheFamilyGuy
329,CanadaHQ
394,CannaCreations
