id,name,name_encoded,embedding
212,Tor,313,"[-0.35407454  0.3598881   0.34813613 -0.3355476  -0.26574516  0.24425769
 -0.27818155  0.39491066 -0.33739528 -0.261877  ]"
91,cryptomining,365,"[-0.33171546  0.22584687 -0.3087952   0.38255364 -0.3042591  -0.30831614
 -0.26549447  0.30108243  0.3117916  -0.3476285 ]"
94,CannabisCollective,40,"[-0.11953159 -0.3099547  -0.37801704  0.315281   -0.27062815 -0.33249345
 -0.21453597 -0.04286763  0.33675218  0.36742333]"
100,DNMSourcing,76,"[-0.28580028  0.33507183 -0.34908584  0.2166574   0.14612502 -0.34587854
  0.3794175   0.23189767 -0.3085282   0.3191298 ]"
9,murderhomelesspeople,407,"[-0.39018354 -0.2822243   0.3670087   0.229632   -0.29068965 -0.26859885
  0.30531162 -0.3626024   0.34976768  0.3659501 ]"
14,DarkDotFail,94,"[ 0.32672194 -0.37583086  0.19796444 -0.30255812  0.34016037  0.30714953
  0.30991566 -0.08920889  0.23758908 -0.3318173 ]"
171,LawEnforcement,198,"[ 0.21359879 -0.3242257   0.36685702  0.34658828  0.307235    0.21668242
  0.264502    0.01042632  0.06703602 -0.36696434]"
105,NovelDissos,230,"[-0.1948987  -0.27665722 -0.3145139   0.0208054   0.3601845   0.00228896
 -0.2750424   0.3822611  -0.06004325  0.29736137]"
395,XTC,344,"[-0.32743803  0.34644628  0.34496567  0.3716932  -0.12840588  0.31022292
 -0.2823313   0.22245836 -0.3596364   0.28679618]"
23,GrowCannabis,163,"[-0.3871666   0.38710034  0.33993036 -0.2787726  -0.3103267  -0.35701326
  0.35818017  0.06703637  0.29457036 -0.35818148]"
21,fraud,383,"[ 0.16135406 -0.296383    0.38608122  0.2739073  -0.3495463   0.11565446
  0.30197665 -0.32139492 -0.3749538   0.38724813]"
172,BugBounty,31,"[ 0.16078016 -0.37210336 -0.38603243  0.2592761  -0.3532765  -0.38878155
  0.31077227  0.30699763 -0.3572902   0.31027395]"
30,CodeineCowboys,50,"[-0.3877277   0.2780564  -0.32780457  0.14148465  0.3028289   0.10462506
  0.08517158 -0.32291985  0.28864142  0.31668878]"
175,Masterlist,211,"[ 0.24756928  0.31670246  0.32279575  0.28456074  0.35480472 -0.2945175
  0.37071267  0.335617    0.31038883  0.31870338]"
267,zeronet,444,"[ 0.16387166  0.3122248  -0.31057307  0.33421698  0.08727571 -0.37816703
  0.12636404  0.39520454 -0.23652633 -0.1921807 ]"
28,DarkNetMarketsNO,104,"[ 0.37096694  0.38020948 -0.17225961  0.3394122   0.37005898 -0.30645162
  0.3264504  -0.2918926   0.10635625 -0.24394026]"
156,Videos,335,"[ 0.33558428  0.30787116 -0.31622097 -0.28537714 -0.23445976  0.34457275
  0.27910647 -0.25002736 -0.40461358  0.30717495]"
178,Theft,311,"[-0.2073465   0.27391478 -0.32222888  0.14180987 -0.30119476  0.35116354
 -0.3079672  -0.3032378   0.32925564 -0.25874573]"
195,BTC,18,"[-0.30354205 -0.22303514 -0.18615763 -0.06157394 -0.3154896   0.37027258
 -0.09575605 -0.36140844 -0.27814534  0.29634586]"
362,DankReviewz,89,"[-0.29103434  0.34608823  0.36760515  0.04808692  0.2682636   0.18655132
 -0.13192049 -0.1850962  -0.16551451  0.14272796]"
244,mxe,410,"[-0.317082   -0.30123866 -0.31969553  0.02402997 -0.31645498 -0.34788722
  0.03566508 -0.14865674  0.22104757  0.00202309]"
361,USAConnect,322,"[-0.29810745  0.33751148 -0.38706577 -0.14613509 -0.3282212   0.26401338
  0.3099528  -0.33670577  0.34044412 -0.01092664]"
179,I2P,179,"[-0.14190459 -0.31623814  0.258826   -0.23646018  0.3428514   0.37181413
  0.31771466 -0.34230086 -0.36374342 -0.19649646]"
42,DarkMarketsBrasil,95,"[-0.18958609  0.36725345 -0.37311706  0.06562827 -0.30780762 -0.27488315
 -0.11017767 -0.27342984  0.31044248 -0.37854287]"
180,DarkNetMarketBusts,101,"[ 0.25507152 -0.16829811  0.24817677 -0.34605128 -0.27257353  0.33497995
  0.31605664 -0.33656728  0.29653195  0.31046906]"
62,Hashish,170,"[ 0.3225737  -0.23501012  0.33511811 -0.30009636  0.02787736 -0.32041454
 -0.30925363 -0.3407765   0.3178219  -0.3308816 ]"
43,DNMBrasil,67,"[ 0.29892728  0.15192948  0.21790841 -0.05173398 -0.29151368 -0.3054193
 -0.3080678   0.3109953   0.27842242 -0.3794263 ]"
59,OpenBazaar,240,"[-0.29574525 -0.27350947  0.32432783 -0.19143902  0.29035026 -0.3415043
  0.34742814 -0.36463225 -0.32920298  0.37150684]"
45,DeutschClub,118,"[ 0.3297971   0.25037724 -0.19709952 -0.3664725   0.26225835  0.39892825
  0.320456   -0.25344092  0.36317438 -0.23194547]"
242,XannyFamily,347,"[-0.3095508   0.24055879 -0.22264527 -0.22341555  0.10421514  0.09010381
  0.3164527   0.35006878 -0.32626677  0.38448936]"
247,hardwareinfosec,394,"[ 0.3121019   0.30269274  0.3407554  -0.17833804  0.28084895  0.3809073
  0.3553534   0.14062512  0.29793358  0.23035367]"
248,DreamMarketScam,126,"[-0.32269627 -0.33874822 -0.28985113  0.29816267 -0.3134505   0.32191047
 -0.33389765 -0.38424093 -0.28260198  0.30288926]"
367,DNMGreece,70,"[-0.05637885  0.32980895 -0.3578046   0.39224157 -0.34404767 -0.4024223
 -0.10969491 -0.34531754  0.14420465  0.20723228]"
366,TheCardersBay,302,"[-0.30478707  0.06444377 -0.29018858 -0.33640543  0.14495122 -0.37920505
 -0.22208513  0.33169243 -0.34144697 -0.2941976 ]"
368,Legal,200,"[ 0.3043276  -0.04069813  0.36806622 -0.34038666 -0.3429291  -0.2840721
 -0.3242017   0.26415426  0.2936703   0.32699862]"
249,HeinekenExpress,172,"[-0.31514847 -0.3897739   0.30907837  0.34123254 -0.3859454  -0.3807565
  0.32822508 -0.34414247  0.36523026  0.32851243]"
250,SafeOrScam,272,"[ 0.39152336 -0.00924291 -0.38621566  0.24074818  0.12541528  0.28712592
  0.31497505 -0.17293625 -0.27047864 -0.3625374 ]"
74,Shrooms,280,"[-0.33546    -0.27366772 -0.22824265  0.340472    0.25193232  0.27163193
  0.37056112 -0.29809302  0.3288312  -0.39373192]"
251,Gambling,154,"[ 0.31352776  0.29912513 -0.05057047 -0.33129066  0.27651677  0.39495462
  0.39166972 -0.34177315  0.2726941  -0.2880872 ]"
369,DankVault,90,"[-0.30919695  0.33630696 -0.35610005 -0.2599304   0.35961047 -0.2646364
 -0.2525686   0.30583817  0.3500323  -0.17541358]"
252,EOLShrooms,137,"[ 0.3699884   0.02595796  0.3923304  -0.09676132  0.30050927  0.38998502
 -0.37881324 -0.20506355 -0.3300576  -0.31813914]"
47,Laundromat,197,"[-0.08031645  0.27410373  0.24628825 -0.36164346 -0.35004932  0.19734271
  0.17081963  0.323579    0.09115054  0.3624195 ]"
86,DarknetPortugal,114,"[ 0.3410669  -0.3115931  -0.39931694 -0.36944705  0.06388868  0.26664054
 -0.36697593 -0.20275274 -0.30826125 -0.27597278]"
90,aerospace,348,"[-0.2767903  -0.29117495 -0.2575741  -0.30710477  0.29094297  0.3408115
  0.25832507  0.37777156 -0.31635264  0.2260484 ]"
370,MDMAConnosoursClub,207,"[-0.31707722  0.34151438 -0.10080905 -0.11859486  0.34045333  0.30731776
  0.28696755 -0.35722318 -0.38673687 -0.35415885]"
371,HashHQ,169,"[ 0.2993344   0.35186964 -0.27040154  0.26443565  0.32668048  0.3700709
 -0.32495275  0.31784922 -0.34375522 -0.13779338]"
93,Diazepines,119,"[-0.32039693 -0.0142963   0.29345408  0.28010637  0.2911117  -0.3415466
  0.34881395 -0.02011257 -0.3156286  -0.38932455]"
101,DNMAds,65,"[-0.23120807  0.25513944 -0.29786602  0.34847486 -0.34939942 -0.35289162
 -0.0799869  -0.37937444 -0.3291769  -0.27106196]"
48,CryptoATMs,57,"[ 0.16651188  0.39565843  0.04101519  0.21711159 -0.38075277 -0.35385096
 -0.332875    0.34942132  0.07707413 -0.26100546]"
97,Kratom,195,"[-0.24975769 -0.35071424  0.09132266 -0.2518162  -0.08804449 -0.30579272
  0.2053193   0.04193036  0.34597808 -0.31510648]"
109,FreeSamples,150,"[-0.37729174  0.3628682  -0.05519573 -0.22230203 -0.31334686 -0.08386061
  0.09364116 -0.3312417   0.28779912 -0.35926467]"
107,DrugScience,130,"[ 0.30726287  0.03817062 -0.30373707  0.35656118 -0.3275795  -0.37943447
  0.15600511 -0.16241385  0.3414543   0.293512  ]"
106,2CB,0,"[-0.34711233  0.22907193 -0.18924649 -0.17033584  0.32288903  0.30988076
  0.33612257 -0.35779974  0.32694155 -0.37802416]"
108,SubAnnouncements,292,"[ 0.3020046   0.3723089  -0.1460366   0.39767653 -0.26531023 -0.36794692
 -0.03076881 -0.23399378 -0.29030642  0.33678237]"
232,nitrous,414,"[-0.34210905  0.3305387   0.24392425  0.22299364 -0.36585328 -0.03556593
 -0.3518928   0.3184483   0.34195542  0.36763027]"
115,Xan,345,"[-0.31960052  0.32667875 -0.3058135  -0.11324427 -0.39013913  0.2899622
 -0.3367078   0.2705483   0.35308528 -0.27381524]"
73,Crypto,56,"[-0.30121145 -0.36305296  0.2961452   0.34262908  0.3400738  -0.37680072
  0.3522204  -0.33291385 -0.30489647  0.28575647]"
120,Shoplifting,279,"[-0.36604914  0.07166503  0.378863    0.03759141  0.02779275  0.30145836
 -0.38825628  0.11281519 -0.3158166  -0.21119677]"
129,privacy,419,"[ 0.31071162 -0.01955284 -0.34548405 -0.2855458   0.28676552  0.29971522
 -0.06604571  0.2593787  -0.3561454   0.25420624]"
364,GirlPower,160,"[-0.19518949 -0.34014055  0.21610965 -0.22489813  0.24737407 -0.20909305
  0.25963515 -0.3232436   0.09637377 -0.3446671 ]"
307,VendyMcVendface,333,"[ 0.34484887  0.30519888  0.31396362  0.07538253  0.36941218 -0.30945408
  0.28379458 -0.29284903  0.32173562 -0.05498131]"
343,SubOfShame,293,"[-0.33294085  0.32793143 -0.37295386 -0.27557784  0.34013203 -0.28069344
  0.36517942  0.34110567 -0.32929814  0.31496763]"
404,operamarket,418,"[ 0.32673258  0.27022445  0.29372397 -0.35097712  0.18587779 -0.330917
 -0.24651484 -0.35855615 -0.3995399   0.29580188]"
405,CrownedVendors,55,"[-0.37275892 -0.37993202  0.29241043  0.37827182  0.34654737 -0.25014248
  0.26105338  0.2613837   0.3206123  -0.17665541]"
